WordDictionaryId,WordText,WordDefinition
1,Recycle,Convert Waste into a reusable material
2,Pact,A formal agreement between individuals
3,PVC,polyvinyl chloride; a synthetic thermoplastic material made by polymerizing vinyl chloride.
4,thermoplastic,soft and pliable when heated
5,synthetic,"something made by a synthetic, or chemical process"
6,polyethylene,"a plastic polymer used mostly for containers, electrical insulation, and packaging."
7,polymer,a compound formed from mixing two or more components
8,Polystyrene,a clear plastic or stiff foam used chiefly as an insulator in refrigerators and air conditioners.
9,insulator,"reduces the passage, transfer, or leakage of heat"
